Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Access Type,Source,EID
"Lu H., Shi J., Fei Z., Zhou Q., Mao K.","Measures in the time and frequency domains for fitness landscape analysis of dynamic optimization problems",2017,"Applied Soft Computing Journal","51",,,"192","208",,,10.1016/j.asoc.2016.11.041,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007002636&doi=10.1016%2fj.asoc.2016.11.041&partnerID=40&md5=bada3ab187775ea901144cca2372ca14","Dynamic optimization problems (DOPs) have attracted increasing attention in recent years. Analyzing the fitness landscape is essential to understand the characteristics of DOPs and may provide guidance for the algorithm design. Existing measures for analyzing the dynamic fitness landscape, such as the dynamic fitness distance correlation and the severity of change, cannot give a comprehensive evaluation of the landscape and have many disadvantages. In this paper, we used Discrete-time Fourier transform (DTFT) and dynamic time warping (DTW) distance to acquire information of fitness landscape from frequency and time domains. Five measures are proposed, including the stationarity of amplitude change, the keenness, the periodicity, the change degree of average fitness and the similarity. They can reflect the features of fitness landscape from the aspects of outline, keenness, period, fitness value and similarity degree, respectively. These criteria can obtain essential information that cannot be acquired by existing criteria, and do not depend on the distribution of variables, the prior information of solutions and algorithms. To illustrate the performance of the five measures, experiments are conducted based on three types of standard DOPs with a two-peak function. In addition, we also apply these criteria on the test task scheduling problem for illustrating the fairness and adaptability. The experiment results show that these criteria can reflect the change characteristics of dynamic fitness landscape, and are consistent with the theoretical analysis. © 2016 Elsevier B.V.",Article,,Scopus,2-s2.0-85007002636
"Elhachmi J., Guennoun Z.","Evolutionary algorithm for dynamic spectrum allocation in cognitive radio system",2017,"Colloquium in Information Science and Technology, CIST",,, 7804977,"702","706",,,10.1109/CIST.2016.7804977,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010197268&doi=10.1109%2fCIST.2016.7804977&partnerID=40&md5=cc0cab823e038202775370664919167f","Today, Cognitive radio (CR) is found to be the key technology to exploit the unused available spectrum resources; it can sense and use spectrum in an opportunistic manner without creating any harm to cognitive users. In this paper, we develop a cognitive radio access strategy based on the implementation of a dynamic genetic algorithm for CR. The crossover and mutation operators are developed to keep the channel allocation plan always in the appropriate state. Based on these techniques, reasonable implementation is proposed. Results demonstrate that our algorithm obtains satisfactory results with all satisfying network interference and reduce the number of used channels. © 2016 IEEE.",Conference Paper,,Scopus,2-s2.0-85010197268
"Jordan J., Cheng W., Scheuermann B.","Advancing dynamic evolutionary optimization using in-memory database technology",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10200 LNCS",,,"156","172",,,10.1007/978-3-319-55792-2_11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017497149&doi=10.1007%2f978-3-319-55792-2_11&partnerID=40&md5=b0c477bed2562a19dfb72ab3f9351f7d","This paper reports on IMDEA (In-Memory database Dynamic Evolutionary Algorithm), an approach to dynamic evolutionary optimization exploiting in-memory database (IMDB) technology to expedite the search process subject to change events arising at runtime. The implemented system benefits from optimization knowledge persisted on an IMDB serving as associative memory to better guide the optimizer through changing environments. For this, specific strategies for knowledge processing, extraction and injection are developed and evaluated. Moreover, prediction methods are embedded and empirical studies outline to which extent these methods are able to anticipate forthcoming dynamic change events by evaluating historical records of previous changes and other optimization knowledge managed by the IMDB. © Springer International Publishing AG 2017.",Conference Paper,,Scopus,2-s2.0-85017497149
"Sonklin C., Tang M., Tian Y.-C.","New Decrease-and-Conquer Strategies for the Dynamic Genetic Algorithm for Server Consolidation",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10637 LNCS",,,"504","512",,,10.1007/978-3-319-70093-9_53,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035097899&doi=10.1007%2f978-3-319-70093-9_53&partnerID=40&md5=40a375d17b3512b12f32698a19e52532","The energy consumption in a data center is a big issue as it is responsible for about half of the operational cost of the data centres. Thus, it is desirable to reduce the energy consumption in data centre. One of the most effective ways of cutting the energy consumption in a data centre is through server consolidation, which can be modelled as a virtual machine placement problem. Since virtual machines in a data centre may come and go at any time, the virtual machine placement problem is a dynamic one. As a result, a decrease-and-conquer dynamic genetic algorithm has been proposed for the dynamic virtual machine placement problem. The decrease-and-conquer strategy plays a very important role in the dynamic genetic algorithm as it directly affects the performance of the dynamic genetic algorithm. In this paper we propose three new decrease-and-conquer strategies and conduct an empirical study of the three new decrease-and-conquer strategies as well as the existing one being used in the decrease-and-conquer genetic algorithm. Through the empirical study we find one of the decrease-and-conquer strategy, namely new first-fit decreasing, is significantly better than the existing decrease-and-conquer strategy. © 2017, Springer International Publishing AG.",Conference Paper,,Scopus,2-s2.0-85035097899
"Gabli M., Dahmani S., Mermri E.B., Serghini A.","A dynamic genetic algorithm approach to the problem of UMTS network assignment",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10299 LNCS",,,"15","26",,,10.1007/978-3-319-59647-1_2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019723197&doi=10.1007%2f978-3-319-59647-1_2&partnerID=40&md5=72782c7ae5d36da40b1ecb15e2bb55be","The problem of the universal mobile telecommunication system (UMTS) network assignment is divided into two assignment subproblems: the assignment of a set of Nodes Bs to a set of radio network controllers (RNCs), and the assignment of those RNC concurrently to a set of Mobile Switching Centers (MSCs) and a set of Serving GPRS Support Nodes (SGSNs). The objective is to find an assignment that minimizes the cost of such implementation. This paper proposes, first, an improvement of the existing mathematical modelling. Second, it presents a solution method to the problem based on genetic algorithms with a dynamic approach. To compare our proposed model to the existing one, some numerical examples are given. The obtained results show the efficiency of our model and our approach. © Springer International Publishing AG 2017.",Conference Paper,,Scopus,2-s2.0-85019723197
"Abdul Rahim B., Soundara Rajan K.","Adaptive dynamic genetic algorithm based node scheduling for time-triggered systems",2017,"Advances in Intelligent Systems and Computing","556",,,"705","714",,,10.1007/978-981-10-3874-7_67,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019749790&doi=10.1007%2f978-981-10-3874-7_67&partnerID=40&md5=4fb54c7330e5cab118a4bc191944285e","Nowadays, there has been tremendous increase in the use of reliable systems for safety critical applications such as avionics and automotives. As the systems become reliable, fault-tolerant design is must often involving strict timings. The implementation of such systems with traditional event-triggered approach is inappropriate; consequently, time-triggered approach is taking control. The time-triggered architectures are hard real-time embedded systems. Similarly, the scheduling process has to be redefined for optimality in resource allocation. The schedulability of tasks in such systems is analysed with meta-heuristic approach; genetic algorithm for optimization of processing nodes. Further, an adaptive approach has been arrived called adaptive dynamic genetic algorithm which allocates tasks to available nodes in a better optimized way for multiprocessor architecture. © Springer Nature Singapore Pte Ltd. 2017.",Conference Paper,,Scopus,2-s2.0-85019749790
"Wu W., Xie D., Liu L.","Heterogeneous Differential Evolution with Memory Enhanced Brownian and Quantum Individuals for Dynamic Optimization Problems",2017,"International Journal of Pattern Recognition and Artificial Intelligence",,,,"","",,,10.1142/S0218001418590036,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025148171&doi=10.1142%2fS0218001418590036&partnerID=40&md5=7152b406254f18953c62e554cc3686ca","In order to solve the dynamic optimization problem (DOP), this paper proposes to use a heterogeneous differential evolution (HDE) algorithm framework with memory enhanced Brownian and quantum (MEBQ) individual scheme. The proposed HDE/MEBQ algorithm has the following two advantages when solving DOP. First and foremost, the HDE optimization framework can satisfy the problem requirement of different characteristics. DOP is actually a continuous process to solve different kinds of optimization problems to meet new requirements when the search environmental change occurs. Therefore, HDE/MEBQ is able to fastly respond to the environmental changes of DOP as the HDE framework uses multiple populations with heterogeneous parameters and operators to meet different search requirements in various search environments. Secondly, according to the phenomenon that most of the environmental changes may not be too drastic in real-world applications, historical information in the past may be useful for finding the optimum solution in the new environment. Thus, the MEBQ scheme used in HDE/MEBQ provides helpful historical evolutionary information from the elite ancestors for guiding individuals to evolve in a new environment strongly and to obtain faster convergence and a more precise solution. We evaluated HDE/MEBQ on several DOPs from CEC 2009 and compared with several state-of-the-art dynamic evolutionary algorithms. The results show that HDE/MEBQ performs superior in statistics and gets very competitive results in most of the test conditions, especially in complex DOPs. © 2018 World Scientific Publishing Company",Article in Press,,Scopus,2-s2.0-85025148171
[No author name available],"5th International Conference on Networked Systems, NETYS 2017",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10299 LNCS",,,"1","482",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019742500&partnerID=40&md5=40a67e3417d1677a2e188c7614c61c07","The proceedings contain 34 papers. The special focus in this conference is on Networked Systems. The topics include: An innovative combinatorial approach for the spanning tree entropy in flower network; a dynamic genetic algorithm approach to the problem of UMTS network assignment; a fuzzy-based routing strategy to improve route stability in MANET based on AODV; self-stabilizing reconfiguration; convergence of even simpler robots without position information; ABAC rule reduction via similarity computation; a distributed recommender system based on graded multi-label classification; multithreading approach to process real-time updates in KNN algorithms; locality and singularity for store-atomic memory models; policy expressions and the bottom-up design of computing policies; aspect-oriented state machines for resolving conflicts in XACML policies; agreement functions for distributed computing models; anomalies and similarities among consensus numbers of variously-relaxed queues; the disclosure power of shared objects; competitive clustering of stochastic communication patterns on a ring; toward a resource availability measurement in peer to peer systems; concurrent program verification with lazy sequentialization and interval analysis; parity games on bounded phase multi-pushdown systems; reachability analysis of dynamic pushdown networks with priorities; a location privacy estimator based on spatio-temporal location uncertainties; adaptive graph-based algorithms for spam detection in social networks; incoercible fully-remote electronic voting protocol; a comparative study of software testing techniques; software project management in the era of digital transformation; using fuzzy gray relational analysis in the vertical handover process in wireless networks and long-lived tasks.",Conference Review,,Scopus,2-s2.0-85019742500
"Elhachmi J., Guennoun Z.","Cognitive radio spectrum allocation using genetic algorithm",2016,"Eurasip Journal on Wireless Communications and Networking","2016","1", 133,"","",,9,10.1186/s13638-016-0620-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969850740&doi=10.1186%2fs13638-016-0620-6&partnerID=40&md5=7f003acec4b195d242052c8f740fb91b","This paper presents the problem formulation, development, and use of a robust dynamic genetic algorithm (GA) for channel allocation in cognitive radio. This approach offers an efficient way to access available spectrum for both primary and secondary users. The proposed dynamic genetic algorithms based on the new sophisticated crossover and mutation operators ensure the validity of channels and the fast convergence to the best solution in a highly dynamic environment. Compared with existing methods, simulation results demonstrate that our approach algorithm produces satisfactory results with reduced network interference and enhance efficiently the spectrum throughput. © 2016, Elhachmi and Guennoun.",Article,,Scopus,2-s2.0-84969850740
"Trabelsi W., Azzouz R., Bechikh S., Ben Said L.","Leveraging evolutionary algorithms for dynamic multi-objective optimization scheduling of multi-tenant smart home appliances",2016,"2016 IEEE Congress on Evolutionary Computation, CEC 2016",,, 7744237,"3533","3540",,1,10.1109/CEC.2016.7744237,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008248816&doi=10.1109%2fCEC.2016.7744237&partnerID=40&md5=7a99478eb6316ecd40776d4e7e639ef5","In parallel to optimizing energy consumption within houses, users' comfort is increasingly considered as an essential success criterion for automated smart home solutions. From the user perspective, balancing trade-offs between energy consumption and users' comfort when scheduling home appliances is a challenging task mainly within dynamic context (energy price, budget, user preferences, energy source, etc). To address this challenge, this paper has modeled appliances scheduling as a dynamic constrained multi-objective optimization problem and have leveraged a recently introduced dynamic evolutionary algorithm for the problem resolution. Moreover, there are typically multiple inhabitants in the same home who often share context-aware applications with various individual preferences which are likely to be conflicting. We propose a new comfort function to support multi-user conflictual preferences. Our experimental results have shown that our approach has a confirmed advantage on the user comfort while coping dynamically with the context changes. © 2016 IEEE.",Conference Paper,,Scopus,2-s2.0-85008248816
"Richter H.","Analyzing coevolutionary games with dynamic fitness landscapes",2016,"2016 IEEE Congress on Evolutionary Computation, CEC 2016",,, 7743849,"609","616",,1,10.1109/CEC.2016.7743849,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008256615&doi=10.1109%2fCEC.2016.7743849&partnerID=40&md5=f43180ed26e178c1700155b087c96d68","Coevolutionary games cast players that may change their strategies as well as their networks of interaction. In this paper a framework is introduced for describing coevolutionary game dynamics by landscape models. It is shown that coevolutionary games invoke dynamic landscapes. Numerical experiments are shown for prisoner's dilemma (PD) and snow drift (SD) games that both use either birth-death (BD) or death-birth (DB) strategy updating. The resulting landscapes are analyzed with respect to modality and ruggedness. © 2016 IEEE.",Conference Paper,,Scopus,2-s2.0-85008256615
"Kaliappan M., Augustine S., Paramasivan B.","Enhancing energy efficiency and load balancing in mobile ad hoc network using dynamic genetic algorithms",2016,"Journal of Network and Computer Applications","73",,,"35","43",,2,10.1016/j.jnca.2016.07.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981275771&doi=10.1016%2fj.jnca.2016.07.003&partnerID=40&md5=d392b415122ab3ba60dbce35588a228a","Mobile Ad hoc Network (MANET) is a kind of self-configuring networks. MANET has characteristics of topology dynamics due to factors such as energy conservation and node movement that leads to dynamic load-balanced clustering problem (DLBCP). Load balancing and reliable data transfer between all the nodes are essential to prolong the lifetime of the network. MANET can also be partitioned into clusters for maintaining the network structure. Generally, clustering is used to reduce the size of the topology and to accumulate the topology information. It is necessary to have an effective clustering algorithm for adapting the topology change. In this, we used energy metric in Genetic Algorithm (GA) to solve the DLBCP. It is important to select the energy-efficient cluster head for maintaining the cluster structure and balance the load effectively. In this work, we used dynamic genetic algorithms such as Elitism-based Immigrants Genetic algorithm (EIGA) and Memory Enhanced Genetic Algorithm (MEGA) to solve DLBCP. These schemes select an optimal cluster head by considering the distance and energy parameters. We used EIGA to maintain the diversity level of the population and MEGA to store the old environments into the memory. It promises the energy efficiency of the entire cluster structure to increase the lifetime of the network. Experimental results show that the proposed schemes increases the network lifetime and reduces the total energy consumption. The simulation results show that MEGA gives a better performance than EIGA in terms of load-balancing. © 2016 Elsevier Ltd",Article,,Scopus,2-s2.0-84981275771
"Lissovoi A., Witt C.","The impact of migration topology on the runtime of island models in dynamic optimization",2016,"GECCO 2016 - Proceedings of the 2016 Genetic and Evolutionary Computation Conference",,,,"1155","1162",,1,10.1145/2908812.2908843,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985919763&doi=10.1145%2f2908812.2908843&partnerID=40&md5=18a78aaf4938a2764d18f05af93b00bb","We introduce a simplified island model with behavior similar to the λ (1+1) islands optimizing the Maze fitness function, and investigate the effects of the migration topology on the ability of the simplified island model to track the optimum of a dynamic fitness function. More specifically, we prove that there exist choices of model parameters for which using a unidirectional ring as the migration topology allows the model to track the oscillating optimum through n Mazelike phases with high probability, while using a complete graph as the migration topology results in the island model losing track of the optimum with overwhelming probability. Additionally, we prove that if migration occurs only rarely, denser migration topologies may be advantageous. This serves to illustrate that while a less-dense migration topology may be useful when optimizing dynamic functions with oscillating behavior, and requires less problem-specific knowledge to determine when migration may be allowed to occur, care must be taken to ensure that a sufficient amount of migration occurs during the optimization process.",Conference Paper,,Scopus,2-s2.0-84985919763
"Lissovoi A., Witt C.","MMAS Versus Population-Based EA on a Family of Dynamic Fitness Functions",2016,"Algorithmica","75","3",,"554","576",,4,10.1007/s00453-015-9975-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922570593&doi=10.1007%2fs00453-015-9975-z&partnerID=40&md5=d40e9d04bc42f29f190fe00ba698781f","We study the behavior of a population-based EA and the Max–Min Ant System (MMAS) on a family of deterministically-changing fitness functions, where, in order to find the global optimum, the algorithms have to find specific local optima within each of a series of phases. In particular, we prove that a (2+1) EA with genotype diversity is able to find the global optimum of the Maze function, previously considered by Kötzing and Molter [9], in polynomial time. This is then generalized to a hierarchy result stating that for every μ, a (μ+1) EA with genotype diversity is able to track a Maze function extended over a finite alphabet of μ symbols, whereas population size μ- 1 is not sufficient. Furthermore, we show that MMAS does not require additional modifications to track the optimum of the finite-alphabet Maze functions, and, using a novel drift statement to simplify the analysis, reduce the required phase length of the Maze function. © 2015, Springer Science+Business Media New York.",Article,,Scopus,2-s2.0-84922570593
