Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Access Type,Source,EID
"Lu H., Shi J., Fei Z., Zhou Q., Mao K.","Measures in the time and frequency domains for fitness landscape analysis of dynamic optimization problems",2017,"Applied Soft Computing Journal","51",,,"192","208",,1,10.1016/j.asoc.2016.11.041,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007002636&doi=10.1016%2fj.asoc.2016.11.041&partnerID=40&md5=bada3ab187775ea901144cca2372ca14","Dynamic fitness landscape; Evaluation criteria; Evolutionary optimization; Landscape analysis; Measures in time and frequency domains","Time domain analysis; Evaluation criteria; Evolutionary optimizations; Fitness landscape; Landscape analysis; Time and frequency domains; Optimization",Article,,Scopus,2-s2.0-85007002636
"Elhachmi J., Guennoun Z.","Evolutionary algorithm for dynamic spectrum allocation in cognitive radio system",2017,"Colloquium in Information Science and Technology, CIST",,, 7804977,"702","706",,,10.1109/CIST.2016.7804977,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010197268&doi=10.1109%2fCIST.2016.7804977&partnerID=40&md5=cc0cab823e038202775370664919167f","Cognitive Radio; Genetic Algorithm; Intelligent Radio; Spectrum Allocation","Genetic algorithms; Information science; Radio systems; Channel allocation; Crossover and mutation; Dynamic genetic algorithms; Dynamic spectrum allocations; Key technologies; Network interferences; Spectrum allocation; Cognitive radio",Conference Paper,,Scopus,2-s2.0-85010197268
"Jordan J., Cheng W., Scheuermann B.","Advancing dynamic evolutionary optimization using in-memory database technology",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10200 LNCS",,,"156","172",,,10.1007/978-3-319-55792-2_11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017497149&doi=10.1007%2f978-3-319-55792-2_11&partnerID=40&md5=b0c477bed2562a19dfb72ab3f9351f7d","Associative memory; Dynamic evolutionary algorithm; In-memory databases; Prediction; References","Associative processing; Associative storage; Database systems; Forecasting; Memory architecture; Optimization; Associative memory; Changing environment; Evolutionary optimizations; Historical records; Knowledge processing; Memory database; Prediction methods; References; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-85017497149
"Sonklin C., Tang M., Tian Y.-C.","New Decrease-and-Conquer Strategies for the Dynamic Genetic Algorithm for Server Consolidation",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10637 LNCS",,,"504","512",,,10.1007/978-3-319-70093-9_53,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035097899&doi=10.1007%2f978-3-319-70093-9_53&partnerID=40&md5=40a375d17b3512b12f32698a19e52532","Decrease and conquer; Dynamic optimisation; Genetic algorithm; Server consolidation; Virtual machine placement","Energy utilization; Genetic algorithms; Network security; Optimization; Virtual machine; Data centers; Decrease and conquer; Dynamic genetic algorithms; Dynamic optimisation; Empirical studies; Server consolidation; Strategy play; Virtual machine placements; Green computing",Conference Paper,,Scopus,2-s2.0-85035097899
"Abdul Rahim B., Soundara Rajan K.","Adaptive dynamic genetic algorithm based node scheduling for time-triggered systems",2017,"Advances in Intelligent Systems and Computing","556",,,"705","714",,,10.1007/978-981-10-3874-7_67,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019749790&doi=10.1007%2f978-981-10-3874-7_67&partnerID=40&md5=4fb54c7330e5cab118a4bc191944285e","Genetic algorithm; Safety critical systems; Time-triggered systems","Artificial intelligence; Data mining; Embedded systems; Genetic algorithms; Heuristic methods; Memory architecture; Optimization; Safety engineering; Scheduling; Scheduling algorithms; Fault tolerant design; Hard real-time embedded systems; Meta-heuristic approach; Multi processor architecture; Safety critical applications; Safety critical systems; Time-triggered architectures; Time-triggered systems; Real time systems",Conference Paper,,Scopus,2-s2.0-85019749790
"Gabli M., Dahmani S., Mermri E.B., Serghini A.","A dynamic genetic algorithm approach to the problem of UMTS network assignment",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10299 LNCS",,,"15","26",,,10.1007/978-3-319-59647-1_2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019723197&doi=10.1007%2f978-3-319-59647-1_2&partnerID=40&md5=72782c7ae5d36da40b1ecb15e2bb55be","Cell assignment; Genetic algorithms; Optimization; UMTS","3G mobile communication systems; Cell culture; Genetic algorithms; Mobile telecommunication systems; Optimization; Cell assignment; Dynamic approaches; Dynamic genetic algorithms; Mobile switching centers; Network assignment; Radio Network Controller; Solution methods; Universal mobile telecommunication systems; Traffic control",Conference Paper,,Scopus,2-s2.0-85019723197
"Wu W., Xie D., Liu L.","Heterogeneous Differential Evolution with Memory Enhanced Brownian and Quantum Individuals for Dynamic Optimization Problems",2017,"International Journal of Pattern Recognition and Artificial Intelligence",,,,"","",,,10.1142/S0218001418590036,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025148171&doi=10.1142%2fS0218001418590036&partnerID=40&md5=7152b406254f18953c62e554cc3686ca","Brownian and quantum motion; Differential evolution; dynamic optimization; heterogeneous","Brownian movement; Evolutionary algorithms; Differential Evolution; Dynamic optimization; Dynamic optimization problem (DOP); Evolutionary information; heterogeneous; Historical information; Optimization framework; Quantum motions; Optimization",Article in Press,,Scopus,2-s2.0-85025148171
[No author name available],"5th International Conference on Networked Systems, NETYS 2017",2017,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10299 LNCS",,,"1","482",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019742500&partnerID=40&md5=40a67e3417d1677a2e188c7614c61c07",,,Conference Review,,Scopus,2-s2.0-85019742500
"Elhachmi J., Guennoun Z.","Cognitive radio spectrum allocation using genetic algorithm",2016,"Eurasip Journal on Wireless Communications and Networking","2016","1", 133,"","",,9,10.1186/s13638-016-0620-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969850740&doi=10.1186%2fs13638-016-0620-6&partnerID=40&md5=7f003acec4b195d242052c8f740fb91b",,"Algorithms; Genetic algorithms; Interference suppression; Radio systems; Channel allocation; Crossover and mutation; Dynamic environments; Dynamic genetic algorithms; Fast convergence; Network interferences; Problem formulation; Secondary users; Cognitive radio",Article,Open Access,Scopus,2-s2.0-84969850740
"Trabelsi W., Azzouz R., Bechikh S., Ben Said L.","Leveraging evolutionary algorithms for dynamic multi-objective optimization scheduling of multi-tenant smart home appliances",2016,"2016 IEEE Congress on Evolutionary Computation, CEC 2016",,, 7744237,"3533","3540",,1,10.1109/CEC.2016.7744237,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008248816&doi=10.1109%2fCEC.2016.7744237&partnerID=40&md5=7a99478eb6316ecd40776d4e7e639ef5","Dynamic Multi-objective optimization; Evolutionary algorithms; Multi-user preferences; Smart house; User comfort","Automation; Budget control; Constrained optimization; Domestic appliances; Economic and social effects; Energy utilization; Intelligent buildings; Multiobjective optimization; Optimization; Scheduling; Constrained multi-objective optimizations; Context aware applications; Dynamic multiobjective optimization; Individual preference; Multi-user; Optimizing energy; Problem resolution; User comforts; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-85008248816
"Richter H.","Analyzing coevolutionary games with dynamic fitness landscapes",2016,"2016 IEEE Congress on Evolutionary Computation, CEC 2016",,, 7743849,"609","616",,1,10.1109/CEC.2016.7743849,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008256615&doi=10.1109%2fCEC.2016.7743849&partnerID=40&md5=f43180ed26e178c1700155b087c96d68",,"Computer science; Evolutionary algorithms; Co-evolutionary; Fitness landscape; Landscape model; nocv1; Numerical experiments; Prisoner's dilemma; Snow drifts; Strategy updating; Computer software",Conference Paper,,Scopus,2-s2.0-85008256615
"Kaliappan M., Augustine S., Paramasivan B.","Enhancing energy efficiency and load balancing in mobile ad hoc network using dynamic genetic algorithms",2016,"Journal of Network and Computer Applications","73",,,"35","43",,2,10.1016/j.jnca.2016.07.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981275771&doi=10.1016%2fj.jnca.2016.07.003&partnerID=40&md5=d392b415122ab3ba60dbce35588a228a","Dynamic load-balancing; Elitism-based Immigrant Genetic algorithm; MANET; Memory Enhanced Genetic Algorithm","Algorithms; Clustering algorithms; Data transfer; Dynamic loads; Energy efficiency; Energy utilization; Genetic algorithms; Network management; Telecommunication networks; Topology; Dynamic genetic algorithms; Enhanced genetic algorithms; MANET; Network structures; Reliable data transfers; Self-configuring networks; Topology information; Total energy consumption; Mobile ad hoc networks",Article,,Scopus,2-s2.0-84981275771
"Lissovoi A., Witt C.","The impact of migration topology on the runtime of island models in dynamic optimization",2016,"GECCO 2016 - Proceedings of the 2016 Genetic and Evolutionary Computation Conference",,,,"1155","1162",,1,10.1145/2908812.2908843,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985919763&doi=10.1145%2f2908812.2908843&partnerID=40&md5=18a78aaf4938a2764d18f05af93b00bb",,"Evolutionary algorithms; Dynamic fitness function; Dynamic functions; Dynamic optimization; Fitness functions; Migration topology; Oscillating behavior; Problem-specific knowledge; Unidirectional rings; Topology",Conference Paper,,Scopus,2-s2.0-84985919763
"Lissovoi A., Witt C.","MMAS Versus Population-Based EA on a Family of Dynamic Fitness Functions",2016,"Algorithmica","75","3",,"554","576",,4,10.1007/s00453-015-9975-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922570593&doi=10.1007%2fs00453-015-9975-z&partnerID=40&md5=d40e9d04bc42f29f190fe00ba698781f","Ant colony optimization; Dynamic problems; Evolutionary algorithms; Populations; Runtime analysis","Evolutionary algorithms; Polynomial approximation; Population statistics; Dynamic fitness function; Dynamic problem; Finite alphabet; Fitness functions; Polynomial-time; Population sizes; Populations; Run-time analysis; Ant colony optimization",Article,,Scopus,2-s2.0-84922570593
"Elhachmi J., Guennoun Z.","Spectrum allocation algorithms in a cognitive radio system",2016,"2015 5th International Conference on Information and Communication Technology and Accessibility, ICTA 2015",,, 7426897,"","",,,10.1109/ICTA.2015.7426897,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988423836&doi=10.1109%2fICTA.2015.7426897&partnerID=40&md5=13a272c8a9cd18cce301db163d0156a4","Cognitive Radio; Genetic Algorithm; intelligent radio; Spectrum Allocation","Genetic algorithms; Radio systems; Transportation; Channel allocation; Crossover and mutation; Dynamic genetic algorithms; Key technologies; Network interferences; Spectrum allocation; Cognitive radio",Conference Paper,,Scopus,2-s2.0-84988423836
"Bhardwaj A., Tiwari A., Krishna R., Varma V.","A novel genetic programming approach for epileptic seizure detection",2016,"Computer Methods and Programs in Biomedicine","124",,,"2","18",,9,10.1016/j.cmpb.2015.10.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954475756&doi=10.1016%2fj.cmpb.2015.10.001&partnerID=40&md5=5c7f6111a6ae5d51941527519cbd6f84","Constructive crossover; Dynamic fitness value computation; Epilepsy; Genetic programming","Electroencephalography; Feature extraction; Genetic algorithms; Genetic programming; Health; Neurology; Neurons; Neurophysiology; Signal detection; Signal processing; Sleep research; Automatic seizure detections; Constructive crossover; Crossover and mutation; Empirical Mode Decomposition; Epilepsy; Epileptic seizure detection; Fitness values; Hill climbing search; Biomedical signal processing; Article; artificial neural network; controlled study; decomposition; electroencephalogram; empirical mode decomposition; Fourier transformation; gene mutation; genetic algorithm; human; machine learning; normal human; nuclear reprogramming; operator gene; progeny; seizure; task performance; velocity; algorithm; automated pattern recognition; biological model; computer assisted diagnosis; computer simulation; electroencephalography; procedures; reproducibility; Seizures; sensitivity and specificity; Algorithms; Computer Simulation; Diagnosis, Computer-Assisted; Electroencephalography; Humans; Machine Learning; Models, Genetic; Pattern Recognition, Automated; Reproducibility of Results; Seizures; Sensitivity and Specificity",Article,,Scopus,2-s2.0-84954475756
"Yusoh Z.I.M., Tamaki H., Togai K.","A Real-Coded Dynamic Genetic Algorithm for Optimizing Driver's Model in Emission Test Cycle",2016,"Proceedings - 2015 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2015",,, 7379624,"2823","2828",,,10.1109/SMC.2015.492,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964546409&doi=10.1109%2fSMC.2015.492&partnerID=40&md5=1a27ec5de1a4a7f19f29f96e17bf40ba","driver modelling; Genetic algorithm; optimization; target speed tracking","Algorithms; Cybernetics; Genetic algorithms; Heuristic methods; Target tracking; Driver modelling; Driving operations; Dynamic genetic algorithms; Heuristic techniques; Optimal parameter; Real coded genetic algorithm; Target speed; Vehicle electrifications; Optimization",Conference Paper,,Scopus,2-s2.0-84964546409
"Yang S., Li K., Li W., Chen W., Chen Y.","Dynamic fitness landscape analysis on differential evolution algorithm",2016,"Communications in Computer and Information Science","682",,,"179","184",,,10.1007/978-981-10-3614-9_23,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010029681&doi=10.1007%2f978-981-10-3614-9_23&partnerID=40&md5=3128d12d51545db46cf4f594f288a2c7","Benchmark functions; Differential evolution algorithm; Dynamic fitness landscape analyses","Computation theory; Optimization; Benchmark functions; Differential evolution algorithms; Fitness landscape analysis; High dimensions; Higher dimensions; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-85010029681
[No author name available],"International Joint Conference on Computational Intelligence, IJCCI 2014",2016,"Studies in Computational Intelligence","620",,,"1","410",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952803054&partnerID=40&md5=efce334ff3a29357bffe063cf838866d",,,Conference Review,,Scopus,2-s2.0-84952803054
"Friedrich T., Kötzing T., Krejca M.S., Sutton A.M.","Graceful scaling on uniform versus steep-tailed noise",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9921 LNCS",,,"761","770",,1,10.1007/978-3-319-45823-6_71,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988527827&doi=10.1007%2f978-3-319-45823-6_71&partnerID=40&md5=53c93e40b7d8b3961c25ae44f00b010b","Evolutionary algorithm; Noisy fitness; Theory","Evolutionary algorithms; Gaussian distribution; Problem solving; Evolutionary algorithms (EAs); Exponential tail; Fitness evaluations; Noise modeling; Noisy environment; Noisy fitness; Theory; Uniform distribution; Gaussian noise (electronic)",Conference Paper,,Scopus,2-s2.0-84988527827
"Jose D., Tamilselvan R.","Fault tolerant and energy efficient signal processing on FPGA using evolutionary techniques",2016,"Advances in Intelligent Systems and Computing","412",,,"155","164",,,10.1007/978-981-10-0251-9_16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952053713&doi=10.1007%2f978-981-10-0251-9_16&partnerID=40&md5=36899fa0f4061fa7b52c2430a9bf48c7","FPGA; Genetic algorithms; Intrinsic evolution; Intrinsic evolution; Power consumption; Reconfigurable hardware; Signal processing","Artificial intelligence; Computation theory; Computational methods; Dynamic models; Electric power utilization; Energy efficiency; Field programmable gate arrays (FPGA); Genetic algorithms; Reconfigurable hardware; Repair; Autonomous self-healing; Dynamic fitness function; Evolutionary techniques; Intrinsic evolution; Partial dynamic reconfiguration; Reduced power consumption; Signal processing applications; Signal processing systems; Signal processing",Conference Paper,,Scopus,2-s2.0-84952053713
"Merelo J.J., Chelly Z., Mora A., Fernández-Ares A., Esparcia-Alcázar A.I., Cotta C., de las Cuevas P., Rico N.","A statistical approach to dealing with noisy fitness in evolutionary algorithms",2016,"Studies in Computational Intelligence","620",,,"79","95",,4,10.1007/978-3-319-26393-9_6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949818091&doi=10.1007%2f978-3-319-26393-9_6&partnerID=40&md5=5c243b4b43eb1159ab92938624c16aa7","Dynamic Problems; Evolutionary algorithms; Noisy optimization problems",,Book Chapter,,Scopus,2-s2.0-84949818091
"Kamyab S., Eftekhari M.","Feature selection using multimodal optimization techniques",2016,"Neurocomputing","171",,,"586","597",,6,10.1016/j.neucom.2015.06.068,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947044920&doi=10.1016%2fj.neucom.2015.06.068&partnerID=40&md5=023a2aef0886d64190bea50a2e03520b","Evolutionary feature selection; Feature selection; Multimodal optimization","Evolutionary algorithms; Feature extraction; Optimization; Particle swarm optimization (PSO); Benchmark datasets; Feature selection problem; Fitness sharing; Heuristic approach; High-dimensional optimization; Multi-modal optimization; Optimal solutions; Suitable solutions; Heuristic methods; algorithm; Article; binary PSO algorithm; CatfishBPSO algorithm; controlled study; dynamic fitness sharing; evolutionary algorithm; genetic algorithm; memetic algorithm; multimodal optimization; parameters; priority journal; PSO algorithm; statistical analysis",Article,,Scopus,2-s2.0-84947044920
[No author name available],"11th International Conference on Bio-inspired Computing - Theories and Applications, BIC-TA 2016",2016,"Communications in Computer and Information Science","682",,,"1","539",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010046939&partnerID=40&md5=6fad28338fc942031c5c28bfd83dda91",,,Conference Review,,Scopus,2-s2.0-85010046939
"Prieto A., Bellas F., Trueba P., Duro R.J.","Real-time optimization of dynamic problems through distributed Embodied Evolution",2016,"Integrated Computer-Aided Engineering","23","3",,"237","253",,,10.3233/ICA-160522,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977576550&doi=10.3233%2fICA-160522&partnerID=40&md5=219f719eb0faa49b8bec37ecc248d76d","cooperative coevolution; Dynamic optimization; Embodied Evolution; heterogeneous populations; multi-agent systems","Fleet operations; Freight transportation; Optimization; Vehicle routing; Cooperative co-evolution; Dynamic optimization; Embodied evolution; Engineering optimization problems; Heterogeneous populations; Optimization approach; Real-time optimization; Vehicle routing problem with time windows; Multi agent systems",Conference Paper,,Scopus,2-s2.0-84977576550
"Mohtashami A.","A novel dynamic genetic algorithm-based method for vehicle scheduling in cross docking systems with frequent unloading operation",2015,"Computers and Industrial Engineering","90",,,"221","240",,7,10.1016/j.cie.2015.09.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943606270&doi=10.1016%2fj.cie.2015.09.008&partnerID=40&md5=ce0a6c14b93c9dcfc3901cc2bf7d4170","Cross docking; Genetic algorithm; Metaheuristic; Scheduling; Sequencing; Supply chain management","Algorithms; Automobiles; Cost reduction; Customer satisfaction; Docks; Genetic algorithms; Hydraulic structures; Inventory control; Supply chain management; Trucks; Turnaround time; Unloading; Vehicles; Computational results; Crossdocking; Crossover and mutation; Dynamic approaches; Dynamic genetic algorithms; Inventory management cost; Metaheuristic; Sequencing; Scheduling",Article,,Scopus,2-s2.0-84943606270
"Rakshit P., Konar A., Nagar A.K.","Type-2 fuzzy induced non-dominated sorting bee colony for noisy optimization",2015,"2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings",,, 7257114,"1869","1876",,2,10.1109/CEC.2015.7257114,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963632246&doi=10.1109%2fCEC.2015.7257114&partnerID=40&md5=59e431eb6bb1e30dfa74026a0096815e","noise-handling; non-dominated sorting bee colony; sampling; Stochastic selection; type-2 fuzzy set","Additive noise; Algorithms; Benchmarking; Functions; Health; Multiobjective optimization; Optimization; Pareto principle; Sampling; Stochastic systems; Distribution patterns; Fitness evaluations; Noise handling; Non-dominated Sorting; Pareto optimal solutions; Statistical distribution; Stochastic selection; Type-2 fuzzy set; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-84963632246
"Yang S., Sato Y.","Paralleled Fitness Predator Optimizer with modified dynamic virtual team for multimodal problems",2015,"2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings",,, 7257072,"1551","1558",,,10.1109/CEC.2015.7257072,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963544854&doi=10.1109%2fCEC.2015.7257072&partnerID=40&md5=5977473b8d821502a0b9150e85cc1623","cluster; Fitness Predator Optimizer; virtual team","Algorithms; Evolutionary algorithms; Iterative methods; Particle swarm optimization (PSO); Search engines; cluster; Early convergence; Global searching capabilities; Multimodal problems; Optimizers; Pre-mature convergences; Self organizations; Virtual team; Health",Conference Paper,,Scopus,2-s2.0-84963544854
